drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2009,1,0,Chris Dwyer,2,/players/d/dwyerch01.shtml,3.0,2,0,LHP,0.1,0,0,0.0,0,Royals,KCR,2,0
2009,78,0,Louis Coleman,152,/players/c/colemlo01.shtml,177.33333333333334,144,4,RHP,3.1,26,66,3.2,6,Royals,KCR,186,63
2010,15,0,Jason Adam,31,/players/a/adamja01.shtml,32.333333333333336,30,3,RHP,-0.3,9,22,6.12,0,Royals,KCR,37,22
2010,38,0,Scott Alexander,79,/players/a/alexasc02.shtml,94.0,91,4,LHP,2.5,4,33,2.78,5,Royals,KCR,78,29
2010,14,0,Michael Mariot,19,/players/m/mariomi01.shtml,28.0,33,0,RHP,-0.6,3,22,6.11,1,Royals,KCR,22,19
2011,3,1,Aaron Brooks,4,/players/b/brookaa01.shtml,7.0,18,1,RHP,-0.5,1,16,20.57,0,Royals,KCR,5,16
2011,68,46,Jakob Junis,50,/players/j/junisja01.shtml,275.3333333333333,283,15,RHP,2.6,47,146,4.35,18,Royals,KCR,244,133
2012,33,3,Matt Strahm,45,/players/s/strahma01.shtml,56.666666666666664,43,7,LHP,1.0,6,26,3.81,4,Royals,KCR,67,24
2012,5,0,Alec Mills,3,/players/m/millsal02.shtml,3.3333333333333335,3,0,RHP,-0.2,0,5,13.5,0,Royals,KCR,4,5
2012,9,0,Jake Newberry,14,/players/n/newbeja01.shtml,13.333333333333334,13,0,RHP,-0.1,3,8,4.73,2,Royals,KCR,11,7
2013,3,1,Luke Farrell,1,/players/f/farrelu01.shtml,2.6666666666666665,7,0,RHP,-0.2,1,5,16.88,0,Royals,KCR,2,5
2013,38,0,Kevin McCarthy,108,/players/m/mccarke01.shtml,125.33333333333333,131,4,RHP,1.1,12,59,3.45,7,Royals,KCR,80,48
2014,14,0,Brandon Finnegan,21,/players/f/finnebr01.shtml,31.333333333333332,22,1,LHP,0.6,3,9,2.59,3,Royals,KCR,31,9
2014,31,18,Eric Skoglund,21,/players/s/skogler01.shtml,88.0,96,8,LHP,-0.5,14,61,6.03,2,Royals,KCR,63,59
2014,2,0,Eric Stout,3,/players/s/stouter01.shtml,2.3333333333333335,7,0,LHP,-0.4,2,7,23.14,0,Royals,KCR,2,6
2014,14,0,Tim Hill,70,/players/h/hillti01.shtml,45.666666666666664,46,4,LHP,-0.4,4,28,4.53,1,Royals,KCR,42,23
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,14,0,Tyler Robertson,42,/players/r/roberty01.shtml,26.0,22,2,LHP,-0.5,5,17,5.54,2,Twins,MIN,28,16
2006,32,6,Jeff Manship,41,/players/m/manshje01.shtml,85.66666666666667,107,2,RHP,-1.0,11,63,6.2,3,Twins,MIN,56,59
2006,7,0,Anthony Slama,7,/players/s/slamaan01.shtml,7.0,6,1,RHP,0.1,1,4,5.14,0,Twins,MIN,8,4
2008,54,0,Michael Tonkin,141,/players/t/tonkimi01.shtml,146.33333333333334,155,3,RHP,-0.3,25,89,4.43,3,Twins,MIN,149,72
2009,336,159,Kyle Gibson,159,/players/g/gibsoky01.shtml,927.0,967,61,RHP,9.4,104,487,4.47,54,Twins,MIN,685,460
2010,19,0,Alex Wimmers,22,/players/w/wimmeal01.shtml,24.666666666666668,22,3,RHP,0.2,4,12,4.38,1,Twins,MIN,21,12
2010,23,9,Pat Dean,19,/players/d/deanpa02.shtml,67.33333333333333,88,6,LHP,-0.3,13,47,6.28,1,Twins,MIN,50,47
2010,8,4,Logan Darnell,7,/players/d/darnelo01.shtml,24.0,31,2,LHP,-0.4,5,20,7.13,0,Twins,MIN,22,19
2010,25,0,Ryan O'Rourke,54,/players/o/orourry01.shtml,47.0,34,1,LHP,0.0,6,28,4.98,0,Twins,MIN,48,26
2010,9,0,A.J. Achter,18,/players/a/achteaj01.shtml,24.333333333333332,26,1,RHP,-0.2,6,17,5.18,1,Twins,MIN,19,14
2011,4,0,Jason Wheeler,2,/players/w/wheelja01.shtml,3.0,6,0,LHP,-0.1,1,5,9.0,0,Twins,MIN,0,3
2012,144,71,Jose Berrios,72,/players/b/berrijo01.shtml,396.3333333333333,364,26,RHP,4.1,52,210,4.47,29,Twins,MIN,390,197
2012,74,37,Tyler Duffey,111,/players/d/duffety01.shtml,287.0,328,18,RHP,-0.8,44,186,5.46,18,Twins,MIN,253,174
2012,53,0,Taylor Rogers,198,/players/r/rogerta01.shtml,185.33333333333334,164,6,LHP,4.1,16,69,3.21,11,Twins,MIN,188,66
2013,18,4,Kohl Stewart,8,/players/s/stewako01.shtml,36.666666666666664,34,1,RHP,0.6,1,16,3.68,2,Twins,MIN,24,15
2013,22,4,Stephen Gonsalves,7,/players/g/gonsast01.shtml,24.666666666666668,28,2,LHP,-0.6,2,22,6.57,2,Twins,MIN,16,18
2013,8,5,Aaron Slegers,8,/players/s/slegeaa01.shtml,29.0,29,2,RHP,-0.2,6,20,5.9,1,Twins,MIN,15,19
2014,6,0,John Curtiss,17,/players/c/curtijo02.shtml,15.0,17,1,RHP,-0.2,2,12,7.2,0,Twins,MIN,17,12
2014,32,0,Trevor Hildenberger,110,/players/h/hildetr01.shtml,115.0,113,9,RHP,0.2,16,61,4.62,7,Twins,MIN,114,59
2015,2,0,Andrew Vasquez,9,/players/v/vasquan02.shtml,5.0,5,0,LHp,-0.1,0,4,5.4,1,Twins,MIN,7,3
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,51,0,Jordan Walden,123,/players/w/waldejo01.shtml,114.66666666666667,97,8,RHP,1.5,7,41,3.06,8,Angels,LAA,138,39
2007,4,0,Ryan Brasier,7,/players/b/brasiry01.shtml,9.0,7,0,RHP,0.2,1,2,2.0,0,Angels,LAA,7,2
2008,71,25,Tyler Chatwood,27,/players/c/chatwty01.shtml,142.0,166,11,RHP,-0.5,14,81,4.75,6,Angels,LAA,74,75
2008,8,0,Buddy Boshers,25,/players/b/boshebu01.shtml,15.333333333333334,13,0,LHP,0.0,0,8,4.7,0,Angels,LAA,13,8
2008,73,0,Michael Kohn,126,/players/k/kohnmi01.shtml,110.33333333333333,84,6,RHP,1.1,14,46,3.67,5,Angels,LAA,107,45
2008,4,0,Andrew Taylor,3,/players/t/tayloan01.shtml,2.3333333333333335,3,0,LHP,-0.1,0,3,11.57,0,Angels,LAA,0,3
2009,268,115,Garrett Richards,170,/players/r/richaga01.shtml,744.6666666666666,662,38,RHP,7.7,62,342,3.54,45,Angels,LAA,645,293
2009,19,0,David Carpenter,30,/players/c/carpeda02.shtml,43.0,45,2,RHP,-0.4,7,25,5.23,1,Angels,LAA,29,25
2011,18,0,Nick Maronde,33,/players/m/maronni01.shtml,17.666666666666668,22,0,LHP,-0.8,1,16,7.13,0,Angels,LAA,19,14
2012,15,1,Michael Roth,22,/players/r/rothmi01.shtml,32.333333333333336,40,1,LHP,-1.0,2,28,7.79,2,Angels,LAA,26,28
2012,45,0,Mike Morin,177,/players/m/morinmi01.shtml,164.33333333333334,160,8,RHP,-1.0,15,92,4.49,10,Angels,LAA,154,82
2013,27,0,Keynan Middleton,80,/players/m/middlke01.shtml,76.0,74,1,RHP,1.4,12,29,3.43,6,Angels,LAA,79,29
2014,1,0,Jake Jewell,3,/players/j/jewelja01.shtml,2.0,2,1,RHP,-0.1,0,2,9.0,0,Angels,LAA,1,2
2014,40,0,Justin Anderson,57,/players/a/anderju01.shtml,55.333333333333336,42,3,RHP,0.4,3,25,4.07,3,Angels,LAA,67,25
2014,10,0,Greg Mahle,24,/players/m/mahlegr01.shtml,18.333333333333332,23,0,LHP,-0.3,4,13,5.4,1,Angels,LAA,14,11
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,217,96,Trevor Cahill,96,/players/c/cahiltr01.shtml,583.0,554,35,RHP,9.7,65,274,3.91,40,Athletics,OAK,355,253
2006,49,0,Andrew Bailey,157,/players/b/bailean01.shtml,174.0,117,10,RHP,6.4,11,43,2.07,7,Athletics,OAK,174,40
2007,47,0,Sean Doolittle,254,/players/d/doolise01.shtml,253.0,188,13,1B,4.9,22,89,3.09,13,Athletics,OAK,300,87
2007,12,0,Andrew Carignan,17,/players/c/carigan01.shtml,16.0,16,1,RHP,0.0,1,9,4.5,1,Athletics,OAK,13,8
2008,70,21,Tyson Ross,53,/players/r/rossty01.shtml,148.66666666666666,168,18,RHP,-0.6,12,92,5.33,6,Athletics,OAK,102,88
2009,88,41,Dan Straily,41,/players/s/straida01.shtml,230.0,201,11,RHP,1.8,36,114,4.11,13,Athletics,OAK,190,105
2010,73,47,A.J. Griffin,47,/players/g/griffaj01.shtml,282.3333333333333,245,11,RHP,4.9,46,120,3.6,21,Athletics,OAK,235,113
2011,225,112,Sonny Gray,114,/players/g/grayso01.shtml,705.0,621,36,RHP,11.4,62,305,3.42,44,Athletics,OAK,607,268
2012,44,0,Ryan Dull,160,/players/d/dullry01.shtml,158.66666666666666,121,9,RHP,1.8,24,73,3.63,8,Athletics,OAK,155,64
2013,7,5,Dillon Overton,7,/players/o/overtdi01.shtml,24.333333333333332,48,3,LHP,-1.1,12,31,11.47,1,Athletics,OAK,17,31
2013,4,0,Bobby Wahl,7,/players/w/wahlbo01.shtml,7.666666666666667,8,0,RHP,0.0,0,4,4.7,0,Athletics,OAK,8,4
2013,31,1,Lou Trivino,69,/players/t/trivilo01.shtml,74.0,53,3,RHP,1.6,8,24,2.92,8,Athletics,OAK,82,24
2014,39,23,Daniel Gossett,23,/players/g/gosseda01.shtml,115.66666666666667,141,14,RHP,-0.6,26,81,5.91,4,Athletics,OAK,84,76
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,128,15,Brandon Morrow,131,/players/m/morrobr01.shtml,197.66666666666666,162,12,RHP,2.2,23,93,3.96,8,Mariners,SEA,204,87
2006,79,59,Doug Fister,60,/players/f/fistedo01.shtml,378.0,389,30,RHP,4.4,31,171,3.81,12,Mariners,SEA,218,160
2007,39,0,Shawn Kelley,120,/players/k/kellesh01.shtml,128.0,121,9,RHP,1.1,19,54,3.52,10,Mariners,SEA,122,50
2008,4,0,Bobby LaFromboise,10,/players/l/lafrobo01.shtml,10.666666666666666,12,1,LHP,-0.2,0,8,5.91,0,Mariners,SEA,11,7
2008,46,21,Brandon Maurer,60,/players/m/maurebr01.shtml,159.66666666666666,188,12,RHP,-1.6,22,105,5.58,6,Mariners,SEA,125,99
2009,10,7,Anthony Vasquez,7,/players/v/vasquan01.shtml,29.333333333333332,46,6,LHP,-1.4,13,35,8.9,1,Mariners,SEA,13,29
2010,99,62,Taijuan Walker,65,/players/w/walketa01.shtml,357.0,334,22,RHP,2.6,54,186,4.18,22,Mariners,SEA,322,166
2010,168,102,James Paxton,102,/players/p/paxtoja01.shtml,582.3333333333334,523,26,LHP,11.0,54,244,3.42,41,Mariners,SEA,617,221
2010,16,0,Stephen Pryor,34,/players/p/pryorst01.shtml,32.0,26,1,RHP,0.5,5,14,2.81,3,Mariners,SEA,35,10
2011,34,0,Carter Capps,71,/players/c/cappsca01.shtml,84.0,98,3,RHP,-0.4,12,48,5.04,3,Mariners,SEA,94,47
2011,25,0,Carson Smith,79,/players/s/smithca02.shtml,78.33333333333333,51,5,RHP,2.8,2,19,2.07,3,Mariners,SEA,102,18
2012,64,0,Edwin Diaz,188,/players/d/diazed04.shtml,191.0,130,14,RHP,5.5,20,61,2.64,4,Mariners,SEA,301,56
2012,34,0,Dominic Leone,67,/players/l/leonedo01.shtml,77.66666666666667,63,6,RHP,1.0,5,27,2.78,8,Mariners,SEA,77,24
2013,10,0,Tyler Olson,11,/players/o/olsonty01.shtml,13.333333333333334,18,1,LHP,-0.1,2,8,5.4,1,Mariners,SEA,8,8
2013,8,0,Emilio Pagan,34,/players/p/paganem01.shtml,50.333333333333336,39,3,RHP,0.7,7,20,3.22,2,Mariners,SEA,56,18
2014,36,0,Dan Altavilla,78,/players/a/altavda01.shtml,79.66666666666667,65,3,RHP,0.9,11,35,3.28,4,Mariners,SEA,85,29
2015,8,9,Andrew Moore,11,/players/m/moorean02.shtml,59.0,60,5,RHP,0.0,14,36,5.34,1,Mariners,SEA,31,35
2016,2,1,Matt Festa,8,/players/f/festama01.shtml,8.333333333333334,13,0,RHP,0.2,0,2,2.16,0,Mariners,SEA,4,2
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,311,158,Derek Holland,179,/players/h/hollade01.shtml,985.0,997,50,LHP,9.9,132,517,4.35,62,Rangers,TEX,790,476
2007,74,44,Tommy Hunter,53,/players/h/hunteto02.shtml,266.3333333333333,274,13,RHP,4.0,39,136,4.36,23,Rangers,TEX,151,129
2007,1,0,Matt West,3,/players/w/westma03.shtml,4.0,6,0,3B,0.0,0,3,6.75,0,Rangers,TEX,3,3
2008,72,12,Robbie Ross,150,/players/r/rossro01.shtml,205.66666666666666,221,8,LHP,1.2,16,107,3.98,13,Rangers,TEX,156,91
2008,5,0,Cody Eppley,10,/players/e/eppleco01.shtml,9.0,11,1,RHP,-0.4,3,8,8.0,1,Rangers,TEX,6,8
2009,72,4,Tanner Scheppers,180,/players/s/schepta01.shtml,183.0,184,7,RHP,0.7,24,95,4.23,12,Rangers,TEX,148,86
2010,10,0,Luke Jackson,15,/players/j/jackslu01.shtml,18.0,27,0,RHP,-0.7,5,17,8.5,0,Rangers,TEX,9,17
2010,34,19,Justin Grimm,22,/players/g/grimmju01.shtml,103.0,138,8,RHP,-2.0,16,81,6.73,8,Rangers,TEX,81,77
2010,71,39,Nick Tepesch,42,/players/t/tepesni01.shtml,219.0,228,17,RHP,0.8,27,119,4.56,9,Rangers,TEX,132,111
2010,4,0,Ben Rowen,8,/players/r/rowenbe01.shtml,8.666666666666666,10,0,RHP,0.1,0,4,4.15,0,Rangers,TEX,7,4
2010,48,2,Alex Claudio,208,/players/c/claudal01.shtml,230.66666666666666,243,6,LHP,5.2,15,90,3.2,13,Rangers,TEX,158,82
2011,11,2,Connor Sadzeck,13,/players/s/sadzeco01.shtml,9.333333333333334,6,0,RHP,0.4,0,2,0.96,0,Rangers,TEX,7,1
2011,7,0,Andrew Faulkner,20,/players/f/faulkan01.shtml,16.333333333333332,16,0,LHP,-0.1,5,10,4.41,0,Rangers,TEX,11,8
2011,148,68,Nick Martinez,88,/players/m/martini01.shtml,415.3333333333333,454,30,RHP,1.6,68,243,4.77,17,Rangers,TEX,237,220
2011,22,2,Phil Klein,36,/players/k/kleinph01.shtml,45.0,42,3,RHP,0.0,9,26,4.8,2,Rangers,TEX,47,24
2012,66,0,Keone Kela,180,/players/k/kelake01.shtml,169.66666666666666,128,10,RHP,3.7,17,67,3.45,19,Rangers,TEX,208,65
2013,41,13,Chi Chi Gonzalez,17,/players/g/gonzach01.shtml,77.33333333333333,70,8,RHP,0.4,7,46,4.54,4,Rangers,TEX,37,39
2013,7,0,Nick Gardewine,15,/players/g/gardeni01.shtml,13.0,17,0,RHP,-0.1,1,10,4.85,0,Rangers,TEX,7,7
2015,14,2,Jeffrey Springs,18,/players/s/sprinje01.shtml,32.0,32,1,LHP,0.6,4,14,3.38,1,Rangers,TEX,31,12
2015,4,0,C.D. Pelham,10,/players/p/pelhacd01.shtml,7.666666666666667,12,0,LHP,-0.1,0,6,7.04,0,Rangers,TEX,7,6
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,281,118,Bud Norris,119,/players/n/norribu01.shtml,689.6666666666666,687,46,RHP,4.3,85,368,4.33,34,Astros,HOU,643,332
2008,117,65,Jordan Lyles,72,/players/l/lylesjo01.shtml,377.0,431,29,RHP,-2.7,51,256,5.35,14,Astros,HOU,259,224
2008,2,0,Jordan Jankowski,3,/players/j/jankojo01.shtml,4.333333333333333,7,0,C,-0.2,3,6,12.46,1,Astros,HOU,5,6
2009,343,183,Dallas Keuchel,192,/players/k/keuchda01.shtml,1189.3333333333333,1144,63,LHP,18.2,115,521,3.66,76,Astros,HOU,945,484
2010,21,7,Vince Velasquez,19,/players/v/velasvi01.shtml,55.666666666666664,50,1,RHP,0.2,5,28,4.37,1,Astros,HOU,58,27
2010,16,2,Jake Buchanan,22,/players/b/buchaja01.shtml,44.333333333333336,46,3,RHP,0.1,5,21,4.06,1,Astros,HOU,25,20
2011,9,4,Nick Tropeano,4,/players/t/tropeni01.shtml,21.666666666666668,19,3,RHP,-0.1,0,12,4.57,1,Astros,HOU,13,11
2012,178,80,Lance McCullers Jr.,83,/players/m/mcculla02.shtml,453.6666666666667,400,22,RHP,6.1,35,199,3.67,29,Astros,HOU,509,185
2012,7,1,Brady Rodgers,5,/players/r/rodgebr01.shtml,8.333333333333334,15,1,RHP,-0.6,0,14,15.12,0,Astros,HOU,3,14
2012,2,0,Jordan Jankowski,3,/players/j/jankojo01.shtml,4.333333333333333,7,0,RHP,-0.2,3,6,12.46,1,Astros,HOU,5,6
2014,1,0,Dean Deetz,4,/players/d/deetzde01.shtml,3.3333333333333335,4,0,RHP,0.0,1,2,5.4,0,Astros,HOU,3,2
2014,7,3,Josh James,6,/players/j/jamesjo02.shtml,23.0,15,0,RHP,0.7,3,6,2.35,2,Astros,HOU,29,6
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,3,0,Cory Rasmus,3,/players/r/rasmuco02.shtml,6.666666666666667,8,0,RHP,-0.2,4,6,8.1,0,Braves,ATL,6,6
2006,121,61,Kris Medlen,152,/players/m/medlekr01.shtml,512.6666666666666,471,20,RHP,9.0,42,185,2.95,34,Braves,ATL,434,168
2007,33,0,Cory Gearrin,77,/players/g/gearrco01.shtml,69.33333333333333,64,3,RHP,-0.2,3,33,4.28,3,Braves,ATL,68,33
2007,108,0,Craig Kimbrel,294,/players/k/kimbrcr01.shtml,289.0,153,10,RHP,12.0,12,51,1.43,15,Braves,ATL,476,46
2008,108,0,Craig Kimbrel,294,/players/k/kimbrcr01.shtml,289.0,153,10,RHP,12.0,12,51,1.43,15,Braves,ATL,476,46
2009,187,110,Mike Minor,111,/players/m/minormi01.shtml,652.6666666666666,639,36,LHP,3.6,82,311,4.1,38,Braves,ATL,566,297
2009,40,8,David Hale,47,/players/h/haleda02.shtml,98.33333333333333,100,5,RHP,1.1,5,39,3.02,5,Braves,ATL,58,33
2009,11,7,Ryan Weber,21,/players/w/weberry01.shtml,64.66666666666667,71,4,RHP,0.0,10,37,5.15,1,Braves,ATL,42,37
2010,3,0,Chasen Shreve,15,/players/s/shrevch01.shtml,12.333333333333334,10,0,LHP,0.4,0,1,0.73,0,Braves,ATL,15,1
2011,7,0,Cody Martin,21,/players/m/martico01.shtml,21.666666666666668,24,3,RHP,-0.3,4,13,5.4,2,Braves,ATL,24,13
2011,1,0,John Cornely,1,/players/c/cornejo01.shtml,1.0,3,0,RHP,-0.1,1,4,36.0,0,Braves,ATL,1,4
2011,6,0,Gus Schlosser,15,/players/s/schlogu01.shtml,17.666666666666668,23,1,RHP,-0.7,2,16,7.64,0,Braves,ATL,8,15
2012,31,10,Lucas Sims,20,/players/s/simslu01.shtml,68.0,76,6,RHP,-0.3,11,46,5.96,3,Braves,ATL,54,45
2012,108,55,Alex Wood,86,/players/w/woodal02.shtml,368.6666666666667,359,20,LHP,7.1,27,137,3.1,21,Braves,ATL,337,127
2012,11,0,Shae Simmons,33,/players/s/simmosh01.shtml,28.333333333333332,21,2,RHP,0.5,1,9,2.54,1,Braves,ATL,26,8
2013,17,0,Matt Marksberry,35,/players/m/marksma01.shtml,26.666666666666668,27,3,LHP,-0.4,3,18,5.06,0,Braves,ATL,23,15
2014,9,0,Chad Sobotka,14,/players/s/sobotch01.shtml,14.333333333333334,5,0,RHP,0.4,2,3,1.88,1,Braves,ATL,21,3
2015,4,1,Kolby Allard,3,/players/a/allarko01.shtml,8.0,19,1,LHP,-0.6,3,12,12.38,1,Braves,ATL,3,11
2015,7,5,Mike Soroka,5,/players/s/sorokmi01.shtml,25.666666666666668,30,1,RHP,0.0,1,14,3.51,2,Braves,ATL,21,10
2015,24,0,A.J. Minter,81,/players/m/minteaj01.shtml,76.33333333333333,70,4,LHP,1.1,4,28,3.18,4,Braves,ATL,95,27
2015,4,0,Evan Phillips,4,/players/p/phillev01.shtml,6.333333333333333,6,0,RHP,-0.1,3,6,8.53,0,Braves,ATL,3,6
2016,6,1,Bryse Wilson,3,/players/w/wilsobr02.shtml,7.0,8,0,RHP,-0.1,0,5,6.43,1,Braves,ATL,6,5
2017,6,0,Kyle Wright,4,/players/w/wrighky01.shtml,6.0,4,0,RHP,0.0,2,3,4.5,0,Braves,ATL,5,3
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,11,0,Cole Kimball,12,/players/k/kimbaco01.shtml,14.0,8,0,RHP,0.4,0,3,1.93,1,Nationals,WSN,11,3
2006,6,2,Brad Peacock,3,/players/p/peacobr01.shtml,12.0,7,0,RHP,0.7,0,1,0.75,2,Nationals,WSN,4,1
2007,154,69,Ross Detwiler,132,/players/d/detwiro01.shtml,471.0,493,32,LHP,3.2,40,237,3.82,20,Nationals,WSN,285,200
2008,4,5,Tommy Milone,5,/players/m/milonto01.shtml,26.0,28,0,LHP,0.4,2,11,3.81,1,Nationals,WSN,15,11
2009,321,206,Stephen Strasburg,206,/players/s/strasst01.shtml,1229.6666666666667,1024,52,RHP,26.2,119,478,3.14,94,Nationals,WSN,1444,429
2009,96,0,Drew Storen,355,/players/s/storedr01.shtml,334.0,281,13,RHP,5.2,24,121,3.02,21,Nationals,WSN,321,112
2009,25,15,Taylor Jordan,18,/players/j/jordata01.shtml,94.33333333333333,113,8,RHP,-0.6,6,57,4.48,1,Nationals,WSN,57,47
2009,6,3,Nate Karns,3,/players/k/karnsna01.shtml,12.0,17,1,RHP,-0.4,5,11,7.5,0,Nationals,WSN,11,10
2010,56,0,Sammy Solis,141,/players/s/solissa01.shtml,127.66666666666667,121,7,LHP,0.3,14,68,4.51,5,Nationals,WSN,136,64
2010,48,19,A.J. Cole,26,/players/c/coleaj01.shtml,110.0,118,8,RHP,-0.2,22,73,5.32,5,Nationals,WSN,102,65
2010,39,1,Matt Grace,127,/players/g/gracema02.shtml,129.66666666666666,132,2,LHP,1.5,8,58,3.54,4,Nationals,WSN,97,51
2010,27,0,Aaron Barrett,90,/players/b/barreaa01.shtml,70.0,61,3,RHP,0.4,2,32,3.47,6,Nationals,WSN,84,27
2011,7,1,Taylor Hill,9,/players/h/hillta01.shtml,21.0,30,1,RHP,-0.2,2,14,6.0,0,Nationals,WSN,14,14
2012,12,4,Lucas Giolito,6,/players/g/giolilu01.shtml,21.333333333333332,26,1,RHP,-0.5,7,18,6.75,0,Nationals,WSN,11,16
2013,6,2,Austin Voth,4,/players/v/vothau01.shtml,12.333333333333334,12,1,RHP,-0.1,3,9,6.57,1,Nationals,WSN,11,9
2014,30,14,Erick Fedde,14,/players/f/feddeer01.shtml,65.66666666666667,80,5,RHP,-0.2,13,47,6.44,2,Nationals,WSN,61,47
2014,6,0,Austen Williams,10,/players/w/williau01.shtml,9.666666666666666,10,1,RHP,0.0,5,6,5.59,0,Nationals,WSN,8,6
2015,21,0,Koda Glover,63,/players/g/gloveko01.shtml,55.333333333333336,48,4,RHP,0.2,5,29,4.55,3,Nationals,WSN,42,28
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,52,0,Joe Smith,136,/players/s/smithjo05.shtml,107.66666666666667,99,5,RHP,1.4,7,46,3.51,9,Mets,NYM,97,42
2006,4,0,Tobi Stoner,5,/players/s/stoneto01.shtml,11.333333333333334,12,1,RHP,0.1,2,5,3.97,0,Mets,NYM,5,5
2006,7,0,Josh Stinson,14,/players/s/stinsjo01.shtml,13.0,14,2,RHP,-0.5,1,10,6.92,0,Mets,NYM,8,10
2007,1,0,Eddie Kunz,4,/players/k/kunzed01.shtml,2.6666666666666665,5,0,RHP,-0.2,1,4,13.5,0,Mets,NYM,1,4
2007,11,0,Robert Carson,31,/players/c/carsoro01.shtml,33.0,34,0,LHP,-0.9,11,26,6.82,0,Mets,NYM,13,25
2007,216,110,Dillon Gee,114,/players/g/geedi01.shtml,679.3333333333334,674,37,RHP,4.9,79,325,4.03,40,Mets,NYM,489,304
2008,11,5,Collin McHugh,11,/players/m/mchugco01.shtml,28.333333333333332,39,5,RHP,-1.2,7,29,8.26,0,Mets,NYM,20,26
2008,9,6,Chris Schwinden,7,/players/s/schwich01.shtml,29.666666666666668,38,3,RHP,-0.7,5,26,6.98,0,Mets,NYM,18,23
2009,118,71,Steven Matz,71,/players/m/matzst01.shtml,388.6666666666667,380,26,LHP,5.1,55,185,3.98,20,Mets,NYM,363,172
2010,175,104,Matt Harvey,109,/players/h/harvema01.shtml,639.3333333333334,587,37,RHP,10.4,65,273,3.66,34,Mets,NYM,612,260
2010,222,139,Jacob deGrom,139,/players/d/degroja01.shtml,897.6666666666666,740,41,RHP,25.8,76,291,2.67,55,Mets,NYM,1000,266
2010,3,0,Akeel Morris,1,/players/m/morriak01.shtml,0.6666666666666666,3,0,RHP,-0.2,1,5,67.5,0,Mets,NYM,0,5
2010,38,0,Erik Goeddel,110,/players/g/goedder01.shtml,104.66666666666667,88,4,RHP,0.7,14,48,3.96,3,Mets,NYM,109,46
2010,52,0,Josh Edgin,177,/players/e/edginjo01.shtml,129.0,113,4,LHP,1.7,13,54,3.49,4,Mets,NYM,116,50
2011,10,3,Tyler Pill,7,/players/p/pillty01.shtml,22.0,22,3,RHP,-0.3,3,16,5.32,0,Mets,NYM,16,13
2011,7,0,Jack Leathersich,17,/players/l/leathja01.shtml,11.666666666666666,12,1,LHP,0.3,0,3,2.31,0,Mets,NYM,14,3
2011,85,29,Robert Gsellman,101,/players/g/gsellro01.shtml,244.33333333333334,256,12,RHP,0.4,26,141,4.38,18,Mets,NYM,194,119
2011,74,31,Seth Lugo,90,/players/l/lugose01.shtml,266.6666666666667,244,11,RHP,4.7,29,112,3.44,15,Mets,NYM,233,102
2011,13,0,Chasen Bradford,28,/players/b/bradfch02.shtml,33.666666666666664,30,0,RHP,0.3,3,17,3.74,2,Mets,NYM,27,14
2012,20,12,Corey Oswalt,17,/players/o/oswalco01.shtml,64.66666666666667,69,3,RHP,-0.5,14,43,5.85,3,Mets,NYM,45,42
2012,44,0,Paul Sewald,103,/players/s/sewalpa01.shtml,121.66666666666667,120,13,RHP,-0.9,16,75,5.25,0,Mets,NYM,127,71
2012,41,10,Chris Flexen,18,/players/f/flexech01.shtml,54.333333333333336,76,8,RHP,-1.9,13,57,8.45,3,Mets,NYM,39,51
2012,5,0,Tim Peterson,22,/players/p/peterti01.shtml,27.666666666666668,29,2,RHP,-0.4,8,19,6.18,2,Mets,NYM,25,19
2013,12,0,Tyler Bashlor,24,/players/b/bashlty01.shtml,32.0,26,3,RHP,0.1,6,16,4.22,0,Mets,NYM,25,15
2013,6,0,Kevin McGowan,8,/players/m/mcgowke01.shtml,8.666666666666666,8,0,RHP,0.0,2,5,5.19,0,Mets,NYM,8,5
2015,2,2,P.J. Conlon,3,/players/c/conlopj01.shtml,7.666666666666667,15,0,LHP,-0.2,2,7,8.22,0,Mets,NYM,5,7
drafted,BB,GS,name,G,url,IP,H,L,handed,war,HR,R,ERA,W,team,short_team,K,ER
2006,9,1,Drew Carpenter,11,/players/c/carpean01.shtml,19.0,30,1,RHP,-0.6,4,18,8.53,1,Phillies,PHI,18,18
2007,19,0,Joe Savery,41,/players/s/saverjo01.shtml,47.666666666666664,42,2,LHP,-0.3,5,28,4.15,3,Phillies,PHI,32,22
